,village_name,district_name,population
590,Gribov,Stropkov,192
591,Gruzovce,Humenné,132
592,Gyňov,Košice-okolie,688
593,Habovka,Tvrdošín,1382
594,Habura,Medzilaborce,490
595,Hačava,Košice-okolie,215
596,Hačava,Rimavská Sobota,215
597,Hadviga,Turčianske Teplice,1
598,Háj,Turčianske Teplice,483
599,Háj,Košice-okolie,275
600,Hajná Nová Ves,Topoľčany,332
601,Hajnáčka,Rimavská Sobota,1143
602,Hájske,Šaľa,1319
603,Hajtovka,Stará Ľubovňa,66
604,Haláčovce,Bánovce nad Bebravou,362
605,Halič,Lučenec,1659
606,Haligovce,Stará Ľubovňa,625
607,Haluzice,Nové Mesto nad Váhom,84
608,Hamuliakovo,Senec,2335
609,Handlová,Prievidza,16890
610,Hanigovce,Sabinov,129
611,Haniska,Košice-okolie,1546
612,Haniska,Prešov,715
613,Hanková,Rožňava,87
614,Hankovce,Humenné,500
615,Hankovce,Bardejov,436
616,Hanušovce nad Topľou,Vranov nad Topľou,3782
617,Harakovce,Levoča,58
618,Harhaj,Bardejov,268
619,Harichovce,Spišská Nová Ves,1858
620,Hatalov,Michalovce,746
621,Hatné,Považská Bystrica,631
622,Havaj,Stropkov,399
623,Havka,Kežmarok,35
624,Havranec,Svidník,13
625,Hažín,Michalovce,478
626,Hažín nad Cirochou,Humenné,675
627,Hažlín,Bardejov,1097
628,Helcmanovce,Gelnica,1424
629,Heľpa,Brezno,2550
630,Henckovce,Rožňava,420
631,Henclová,Gelnica,95
632,Hencovce,Vranov nad Topľou,1340
633,Hendrichovce,Prešov,255
634,Herľany,Košice-okolie,291
635,Hermanovce,Prešov,1974
636,Hermanovce nad Topľou,Vranov nad Topľou,694
637,Hertník,Bardejov,1043
638,Hervartov,Bardejov,517
639,Hiadeľ,Banská Bystrica,525
640,Hincovce,Spišská Nová Ves,238
641,Hladovka,Tvrdošín,1051
642,Hlboké,Považská Bystrica,940
643,Hlboké,Senica,940
644,Hlboké nad Váhom,Bytča,936
645,Hliník nad Hronom,Žiar nad Hronom,2812
646,Hlinné,Vranov nad Topľou,1869
647,Hlivištia,Sobrance,375
648,Hlohovec,Hlohovec,21301
649,Hniezdne,Stará Ľubovňa,1445
650,Hnilčík,Spišská Nová Ves,559
651,Hnojné,Michalovce,220
652,Hnúšťa,Rimavská Sobota,7411
653,Hodejov,Rimavská Sobota,1604
