"Obec, mesto, mestská časť",latitude,longitude
Haniska,48.66667,21.33333
Hanková,48.66008,20.53758
Hankovce,49.29175,21.27271
Hankovce,48.93707,21.91625
Hanušovce nad Topľou,48.88836,21.68479
Harakovce,49.02173,20.59212
Harhaj,49.29175,21.27271
Harichovce,48.94464,20.56154
Harmanec,48.73946,19.15349
Hatalov,48.75434,21.9195
Hatné,49.12153,18.42169
Havaj,49.20211,21.65216
Havka,49.1357,20.43352
Havranec,49.30819,21.5703
Hažín,48.75434,21.9195
Hažín nad Cirochou,48.93707,21.91625
Hažlín,49.29175,21.27271
Helcmanovce,48.85584,20.93712
Heľpa,48.80431,19.63631
Henckovce,48.66008,20.53758
Henclová,48.85584,20.93712
Hencovce,48.88836,21.68479
Hendrichovce,49.02425,21.00014
Herľany,48.66667,21.33333
Hermanovce,49.04584,21.01629
Hermanovce nad Topľou,48.88836,21.68479
Hertník,49.29175,21.27271
Hervartov,49.29175,21.27271
Hiadeľ,48.81053,19.31561
Hincovce,48.94464,20.56154
Hladovka,49.337,19.556
Hlboké,48.67922,17.36697
Hlboké nad Váhom,49.22404,18.55878
Hliník nad Hronom,48.59184,18.84958
Hlinné,48.88836,21.68479
Hlivištia,48.74455,22.18136
Hlohovec,48.43174,17.8031
Hniezdne,49.29859,20.6862
Hnilčík,48.94464,20.56154
Hnilec,48.94464,20.56154
Hnojné,48.75434,21.9195
Hnúšťa,48.38284,20.0224
Hodejov,48.38284,20.0224
Hodejovec,48.38284,20.0224
Hodkovce,48.66667,21.33333
Hodruša-Hámre,48.48124,18.71565
Hokovce,48.21563,18.60705
Holčíkovce,48.88836,21.68479
Holiare,47.76667,18.13333
Holice,47.99268,17.61211
Holíč,48.81105,17.16238
Holiša,48.33249,19.66708
Holumnica,49.1357,20.43352
Honce,48.66008,20.53758
Hontianska Vrbica,48.21563,18.60705
Hontianske Moravce,48.3554,19.06474
Hontianske Nemce,48.3554,19.06474
Hontianske Tesáre,48.3554,19.06474
Hontianske Trsťany,48.21563,18.60705
Horná Breznica,48.83333,18.25
Horná Kráľová,48.15127,17.88062
Horná Krupá,48.51632,17.52492
Horná Lehota,49.20983,19.30341
Horná Lehota,48.80431,19.63631
Horná Mariková,49.12153,18.42169
Horná Mičiná,48.6989,19.21437
Horná Poruba,48.83333,18.25
Horná Potôň,47.99268,17.61211
Horná Seč,48.21563,18.60705
Horná Streda,48.75466,17.83506
Horná Strehová,48.21058,19.35043
Horná Súča,48.89452,18.04436
Horná Štubňa,48.86226,18.86048
Horná Ves,48.76667,18.63333
Horná Ves,48.59184,18.84958
Horná Ždaňa,48.59184,18.84958
Horné Dubové,48.51927,17.56378
Horné Hámre,48.48124,18.71565
Horné Chlebany,48.56362,18.16712
Horné Lefantovce,48.42399,18.14354
Horné Mladonice,48.3554,19.06474
Horné Mýto,47.99268,17.61211
Horné Naštice,48.83333,18.25
Horné Obdokovce,48.56362,18.16712
Horné Orešany,48.46738,17.44101
Horné Otrokovce,48.43174,17.8031
Horné Plachtince,48.21058,19.35043
Horné Pršany,48.69964,19.0833
Horné Saliby,48.2,17.71667
Horné Semerovce,48.21563,18.60705
Horné Srnie,48.89452,18.04436
Horné Strháre,48.21058,19.35043
Horné Štitáre,48.56362,18.16712
Horné Trhovište,48.43174,17.8031
Horné Turovce,48.21563,18.60705
Horné Vestenice,48.76667,18.63333
Horné Zahorany,48.38284,20.0224
Horné Zelenice,48.43174,17.8031
Horný Badín,48.3554,19.06474
Horný Bar,47.99268,17.61211
Horný Hričov,49.25817,18.6631
Horný Kalník,49.06651,18.92399
Horný Lieskov,49.12153,18.42169
Horný Pial,48.21563,18.60705
Horný Tisovník,48.56082,19.41954
Horný Vadičov,49.3,18.78333
Horňa,48.74455,22.18136
Horňany,48.89452,18.04436
Horovce,48.83333,18.25
Horovce,48.75434,21.9195
Hoste,48.2,17.71667
Hostice,48.38284,20.0224
Hostie,48.38553,18.40063
Hostišovce,48.38284,20.0224
Hostovice,48.98857,22.15099
Hosťová,48.33765,18.20451
Hosťovce,48.38553,18.40063
Hosťovce,48.66667,21.33333
Hozelec,49.06144,20.29798
Hôrka,49.06144,20.29798
Hôrka nad Váhom,48.75466,17.83506
Hôrky,49.20473,18.69308
Hrabičov,48.48124,18.71565
Hrabkov,48.95968,21.02339
Hrabová Roztoka,48.98857,22.15099
Hrabovčík,49.30819,21.5703
Hrabovec,49.29175,21.27271
Hrabovec nad Laborcom,48.93707,21.91625
Hrabovka,48.89452,18.04436
Hrabské,49.29175,21.27271
Hrabušice,48.9756,20.40865
Hradisko,49.1357,20.43352
Hradište,48.83333,18.25
Hradište,48.43094,19.79408
Hradište pod Vrátnom,48.67922,17.36697
Hrádok,48.75466,17.83506
Hrachovište,48.75466,17.83506
Hrachovo,48.38284,20.0224
Hraničné,49.29859,20.6862
Hranovnica,49.06144,20.29798
Hraň,48.62858,21.71954
Hrašné,48.75876,17.56866
Hrašovík,48.66667,21.33333
Hrčeľ,48.62858,21.71954
Hrhov,48.66008,20.53758
Hriadky,48.62858,21.71954
Hričovské Podhradie,49.22224,18.62264
Hriňová,48.56082,19.41954
Hrišovce,48.85584,20.93712
Hrkovce,48.21563,18.60705
Hrlica,48.68346,20.11734
Hrnčiarovce nad Parnou,48.34261,17.56767
Hrnčiarska Ves,48.43094,19.79408
Hrnčiarske Zalužany,48.43094,19.79408
Hrochoť,48.65567,19.31284
Hromoš,49.29859,20.6862
Hronec,48.80431,19.63631
Hronovce,48.21563,18.60705
Hronsek,48.65248,19.15682
Hronská Breznica,48.57442,19.15324
Hronská Dúbrava,48.59184,18.84958
Hronské Kľačany,48.21563,18.60705
Hronské Kosihy,48.21563,18.60705
Hronský Beňadik,48.48124,18.71565
Hrubá Borša,48.21951,17.40043
Hruboňovo,48.30763,18.08453
Hrubov,48.93707,21.91625
Hrubý Šúr,48.21951,17.40043
Hrušov,48.21058,19.35043
Hrušov,48.66008,20.53758
Hrušovany,48.56362,18.16712
Hrušovo,48.38284,20.0224
Hruštín,49.4079,19.48032
Hubice,47.99268,17.61211
Hubina,48.59479,17.82591
Hubošovce,49.10308,21.0988
Hubová,49.0748,19.30751
Hubovo,48.38284,20.0224
Hucín,48.68346,20.11734
Hudcovce,48.93707,21.91625
Hul,47.98333,18.16667
Humenné,48.93707,21.91625
Huncovce,49.1357,20.43352
Hunkovce,49.30819,21.5703
Hurbanova Ves,48.21951,17.40043
Hurbanovo,47.76667,18.13333
Husák,48.74455,22.18136
Husiná,48.38284,20.0224
Hutka,49.29175,21.27271
Huty,49.08061,19.62218
Hviezdoslavov,47.99268,17.61211
Hvozdnica,49.22404,18.55878
Hybe,49.08061,19.62218
Hýľov,48.66667,21.33333
Chanava,48.38284,20.0224
Chlebnice,49.20983,19.30341
Chlmec,48.93707,21.91625
Chľaba,47.98333,18.16667
Chmeľnica,49.29859,20.6862
Chmeľov,49.06805,21.43806
Chmeľová,49.29175,21.27271
Chmeľovec,49.08226,21.36663
Chminianska Nová Ves,49.00332,21.08251
Chminianske Jakubovany,48.99663,21.01989
Chmiňany,49.0014,21.06785
Choča,48.38553,18.40063
Chocholná-Velčice,48.89452,18.04436
Choňkovce,48.74455,22.18136
Chorvátsky Grob,48.21951,17.40043
Chorváty,48.66667,21.33333
Chotča,49.20211,21.65216
Chotín,47.76667,18.13333
Chrabrany,48.56362,18.16712
Chrámec,48.38284,20.0224
Chrastince,48.21058,19.35043
Chrastné,48.66667,21.33333
Chrasť nad Hornádom,48.94464,20.56154
Chrenovec-Brusno,48.76667,18.63333
Chropov,48.8449,17.22635
Chrťany,48.21058,19.35043
Chtelnica,48.59479,17.82591
Chudá Lehota,48.83333,18.25
Chvalová,48.68346,20.11734
Chvojnica,48.75876,17.56866
Chvojnica,48.76667,18.63333
Chynorany,48.83333,18.25
Chyžné,48.68346,20.11734
Igram,48.21951,17.40043
Ihľany,49.1357,20.43352
Ihráč,48.59184,18.84958
Ilava,48.83333,18.25
Iliašovce,48.94464,20.56154
Ilija,48.44858,18.91003
