"Obec, mesto, mestská časť",region,province,latitude,longitude
Brestovec,Myjava,Trenčiansky kraj,48.79409,17.56628
Brestovec,Komárno,Nitriansky kraj,47.76667,18.13333
Bretejovce,Prešov,Prešovský kraj,48.82772,21.29572
Bretka,Rožňava,Košický kraj,48.66008,20.53758
Breza,Námestovo,Žilinský kraj,49.4079,19.48032
Brezany,Žilina,Žilinský kraj,49.18885,18.6715
Brezina,Trebišov,Košický kraj,48.62858,21.71954
Breziny,Zvolen,Banskobystrický kraj,48.57442,19.15324
Breznica,Stropkov,Prešovský kraj,49.20211,21.65216
Breznička,Poltár,Banskobystrický kraj,48.43094,19.79408
Breznička,Stropkov,Prešovský kraj,49.20211,21.65216
Brezno,Brezno,Banskobystrický kraj,48.80431,19.63631
Brezolupy,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Brezov,Bardejov,Prešovský kraj,49.29175,21.27271
Brezová pod Bradlom,Myjava,Trenčiansky kraj,48.75876,17.56866
Brezovec,Snina,Prešovský kraj,48.98857,22.15099
Brezovica,Sabinov,Prešovský kraj,49.10308,21.0988
Brezovica,Tvrdošín,Žilinský kraj,49.337,19.556
Brezovička,Sabinov,Prešovský kraj,49.10308,21.0988
Brezovka,Bardejov,Prešovský kraj,49.29175,21.27271
Brežany,Prešov,Prešovský kraj,48.99839,21.23393
Brhlovce,Levice,Nitriansky kraj,48.21563,18.60705
Brieštie,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Brodské,Skalica,Trnavský kraj,48.8449,17.22635
Brodzany,Partizánske,Trenčiansky kraj,48.83333,18.25
Brunovce,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Brusnica,Stropkov,Prešovský kraj,49.20211,21.65216
Brusník,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Brusno,Banská Bystrica,Banskobystrický kraj,48.79238,19.3822
Brutovce,Levoča,Prešovský kraj,49.02173,20.59212
Bruty,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Brvnište,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Brzotín,Rožňava,Košický kraj,48.66008,20.53758
Buclovany,Bardejov,Prešovský kraj,49.29175,21.27271
Bučany,Trnava,Trnavský kraj,48.41582,17.6972
Budča,Zvolen,Banskobystrický kraj,48.57442,19.15324
Budikovany,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Budimír,Košice-okolie,Košický kraj,48.66667,21.33333
Budiná,Lučenec,Banskobystrický kraj,48.33249,19.66708
Budince,Michalovce,Košický kraj,48.75434,21.9195
Budiš,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Budkovce,Michalovce,Košický kraj,48.75434,21.9195
Budmerice,Pezinok,Bratislavský kraj,48.28986,17.26664
Buglovce,Levoča,Prešovský kraj,49.02173,20.59212
Buková,Trnava,Trnavský kraj,48.54321,17.39696
Bukovce,Stropkov,Prešovský kraj,49.20211,21.65216
Bukovec,Košice-okolie,Košický kraj,48.66667,21.33333
Bukovec,Myjava,Trenčiansky kraj,48.75876,17.56866
Bukovina,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Bulhary,Lučenec,Banskobystrický kraj,48.33249,19.66708
Bunetice,Košice-okolie,Košický kraj,48.66667,21.33333
Bunkovce,Sobrance,Košický kraj,48.74455,22.18136
Bušince,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Bušovce,Kežmarok,Prešovský kraj,49.1357,20.43352
Buzica,Košice-okolie,Košický kraj,48.66667,21.33333
Buzitka,Lučenec,Banskobystrický kraj,48.33249,19.66708
Búč,Komárno,Nitriansky kraj,47.76667,18.13333
Bystrá,Brezno,Banskobystrický kraj,48.80431,19.63631
Bystrá,Stropkov,Prešovský kraj,49.20211,21.65216
Bystrany,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Bystré,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Bystričany,Prievidza,Trenčiansky kraj,48.76667,18.63333
Bystrička,Martin,Žilinský kraj,49.06651,18.92399
Byšta,Trebišov,Košický kraj,48.62858,21.71954
Bytča,Bytča,Žilinský kraj,49.22404,18.55878
Bzenica,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Bzenov,Prešov,Prešovský kraj,48.94731,21.16671
Bzince pod Javorinou,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Bziny,Dolný Kubín,Žilinský kraj,49.20983,19.30341
Bzovík,Krupina,Banskobystrický kraj,48.3554,19.06474
Bzovská Lehôtka,Zvolen,Banskobystrický kraj,48.57442,19.15324
Bžany,Stropkov,Prešovský kraj,49.20211,21.65216
Cabaj-Čápor,Nitra,Nitriansky kraj,48.24445,18.02899
Cabov,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Cakov,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Cejkov,Trebišov,Košický kraj,48.62858,21.71954
Cernina,Svidník,Prešovský kraj,49.30819,21.5703
Cerová,Senica,Trnavský kraj,48.67922,17.36697
Cerovo,Krupina,Banskobystrický kraj,48.3554,19.06474
Cestice,Košice-okolie,Košický kraj,48.66667,21.33333
Cigeľ,Prievidza,Trenčiansky kraj,48.76667,18.63333
Cigeľka,Bardejov,Prešovský kraj,49.29175,21.27271
Cigla,Svidník,Prešovský kraj,49.30819,21.5703
Cimenná,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Cinobaňa,Poltár,Banskobystrický kraj,48.43094,19.79408
Cífer,Trnava,Trnavský kraj,48.3175,17.48987
Čab,Nitra,Nitriansky kraj,48.40854,17.9883
Čabalovce,Medzilaborce,Prešovský kraj,49.16667,21.25
Čabiny,Medzilaborce,Prešovský kraj,49.16667,21.25
Čabradský Vrbovok,Krupina,Banskobystrický kraj,48.3554,19.06474
Čadca,Čadca,Žilinský kraj,49.43503,18.78895
Čachtice,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Čajkov,Levice,Nitriansky kraj,48.21563,18.60705
Čaka,Levice,Nitriansky kraj,48.21563,18.60705
Čakajovce,Nitra,Nitriansky kraj,48.37164,18.03829
Čakanovce,Lučenec,Banskobystrický kraj,48.33249,19.66708
Čakanovce,Košice-okolie,Košický kraj,48.66667,21.33333
Čakany,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Čaklov,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Čalovec,Komárno,Nitriansky kraj,47.76667,18.13333
Čamovce,Lučenec,Banskobystrický kraj,48.33249,19.66708
Čaňa,Košice-okolie,Košický kraj,48.66667,21.33333
Čaradice,Zlaté Moravce,Nitriansky kraj,48.38553,18.40063
Častá,Pezinok,Bratislavský kraj,48.28986,17.26664
Častkov,Senica,Trnavský kraj,48.67922,17.36697
Častkovce,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Čata,Levice,Nitriansky kraj,48.21563,18.60705
Čataj,Senec,Bratislavský kraj,48.21951,17.40043
Čavoj,Prievidza,Trenčiansky kraj,48.76667,18.63333
Čáry,Senica,Trnavský kraj,48.67922,17.36697
Čebovce,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Čečehov,Michalovce,Košický kraj,48.75434,21.9195
Čečejovce,Košice-okolie,Košický kraj,48.66667,21.33333
Čechy,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Čechynce,Nitra,Nitriansky kraj,48.25489,18.15958
Čekovce,Krupina,Banskobystrický kraj,48.3554,19.06474
Čeláre,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Čelkova Lehota,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Čelovce,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Čelovce,Prešov,Prešovský kraj,49.07974,21.39966
Čeľadice,Nitra,Nitriansky kraj,48.32918,18.23903
Čeľadince,Topoľčany,Nitriansky kraj,48.56362,18.16712
Čeľovce,Trebišov,Košický kraj,48.62858,21.71954
Čenkovce,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Čerenčany,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Čereňany,Prievidza,Trenčiansky kraj,48.76667,18.63333
Čerhov,Trebišov,Košický kraj,48.62858,21.71954
Čerín,Banská Bystrica,Banskobystrický kraj,48.66065,19.24536
Čermany,Topoľčany,Nitriansky kraj,48.56362,18.16712
Černík,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Černina,Humenné,Prešovský kraj,48.93707,21.91625
Černochov,Trebišov,Košický kraj,48.62858,21.71954
Čertižné,Medzilaborce,Prešovský kraj,49.16667,21.25
Červená Voda,Sabinov,Prešovský kraj,49.10308,21.0988
Červenica,Prešov,Prešovský kraj,48.88681,21.449
Červenica pri Sabinove,Sabinov,Prešovský kraj,49.10308,21.0988
Červeník,Hlohovec,Trnavský kraj,48.43174,17.8031
Červený Hrádok,Zlaté Moravce,Nitriansky kraj,48.38553,18.40063
Červený Kameň,Ilava,Trenčiansky kraj,48.83333,18.25
Červený Kláštor,Kežmarok,Prešovský kraj,49.1357,20.43352
Červeňany,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
České Brezovo,Poltár,Banskobystrický kraj,48.43094,19.79408
Čičarovce,Michalovce,Košický kraj,48.75434,21.9195
Čičava,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Čičmany,Žilina,Žilinský kraj,48.95503,18.51608
Čierna,Trebišov,Košický kraj,48.62858,21.71954
Čierna Lehota,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Čierna Lehota,Rožňava,Košický kraj,48.66008,20.53758
Čierna nad Tisou,Trebišov,Košický kraj,48.62858,21.71954
Čierna Voda,Galanta,Trnavský kraj,48.2,17.71667
Čierne,Čadca,Žilinský kraj,49.43503,18.78895
Čierne Kľačany,Zlaté Moravce,Nitriansky kraj,48.38553,18.40063
Čierne nad Topľou,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Čierne Pole,Michalovce,Košický kraj,48.75434,21.9195
Čierny Balog,Brezno,Banskobystrický kraj,48.80431,19.63631
Čierny Brod,Galanta,Trnavský kraj,48.2,17.71667
Čierny Potok,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Čifáre,Nitra,Nitriansky kraj,48.23239,18.3916
Čiližská Radvaň,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Čimhová,Tvrdošín,Žilinský kraj,49.337,19.556
Čirč,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Čižatice,Košice-okolie,Košický kraj,48.66667,21.33333
Číčov,Komárno,Nitriansky kraj,47.76667,18.13333
Číž,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Čoltovo,Rožňava,Košický kraj,48.66008,20.53758
Čremošné,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Čučma,Rožňava,Košický kraj,48.66008,20.53758
Čukalovce,Snina,Prešovský kraj,48.98857,22.15099
Dačov Lom,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Daletice,Sabinov,Prešovský kraj,49.10308,21.0988
Danišovce,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Dargov,Trebišov,Košický kraj,48.73318,21.58522
Davidov,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Debraď,Košice-okolie,Košický kraj,48.66667,21.33333
Dedačov,Humenné,Prešovský kraj,48.93707,21.91625
Dedina Mládeže,Komárno,Nitriansky kraj,47.76667,18.13333
Dedinka,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Dedinky,Rožňava,Košický kraj,48.66008,20.53758
Dechtice,Trnava,Trnavský kraj,48.54687,17.59666
Dekýš,Banská Štiavnica,Banskobystrický kraj,48.44858,18.91003
Demandice,Levice,Nitriansky kraj,48.21563,18.60705
Demänovská Dolina,Liptovský Mikuláš,Žilinský kraj,48.97086,19.58433
Demjata,Prešov,Prešovský kraj,49.10652,21.31389
Detrík,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Detva,Detva,Banskobystrický kraj,48.56082,19.41954
Detvianska Huta,Detva,Banskobystrický kraj,48.56082,19.41954
Devičany,Levice,Nitriansky kraj,48.21563,18.60705
Devičie,Krupina,Banskobystrický kraj,48.3554,19.06474
Dežerice,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Diaková,Martin,Žilinský kraj,49.06651,18.92399
Diakovce,Šaľa,Nitriansky kraj,48.15127,17.88062
Diviacka Nová Ves,Prievidza,Trenčiansky kraj,48.76667,18.63333
Diviaky nad Nitricou,Prievidza,Trenčiansky kraj,48.76667,18.63333
Divín,Lučenec,Banskobystrický kraj,48.33249,19.66708
Divina,Žilina,Žilinský kraj,49.27178,18.69516
Divinka,Žilina,Žilinský kraj,49.25433,18.69984
Dlhá,Trnava,Trnavský kraj,48.41206,17.42746
Dlhá nad Kysucou,Čadca,Žilinský kraj,49.43503,18.78895
Dlhá nad Oravou,Dolný Kubín,Žilinský kraj,49.20983,19.30341
