,povodne_name,population
825,Ilava,5464
826,Iliašovce,1000
827,Ilija,358
828,Imeľ,1954
829,Inovce,203
830,Iňa,226
831,Iňačovce,769
832,Ipeľské Predmostie,617
833,Ipeľské Úľany,268
834,Ipeľský Sokolec,826
835,Istebné,1371
836,Ivachnová,655
837,Ivančiná,80
838,Ivanice,292
839,Ivanka pri Dunaji,6835
840,Ivanka pri Nitre,2774
841,Ivanovce,999
842,Iža,1703
843,Ižipovce,88
844,Ižkovce,90
845,Jablonec,NaN
846,Jablonica,2242
847,Jablonka,NaN
848,Jablonov,1008
849,Jablonov nad Turňou,736
850,Jablonové,NaN
852,Jabloň,NaN
853,Jabloňovce,210
854,Jacovce,1751
855,Jahodná,NaN
856,Jaklovce,1873
857,Jakovany,338
858,Jakubany,2846
859,Jakubov,1638
860,Jakubova Voľa,400
861,Jakubovany,NaN
863,Jakušovce,42
864,Jalová,64
865,Jalovec,NaN
867,Jalšové,487
868,Jalšovík,184
869,Jamník,NaN
871,Janice,308
872,Janík,634
873,Janíky,926
874,Jankovce,266
875,Janov,NaN
876,Janova Lehota,969
877,Janovce,462
878,Jánovce,NaN
880,Janovík,367
881,Jarabá,41
882,Jarabina,NaN
883,Jarok,NaN
884,Jarovnice,7027
885,Jasenica,NaN
886,Jasenie,1167
887,Jasenov,NaN
889,Jasenová,419
890,Jasenovce,207
891,Jasenové,617
892,Jasenovo,122
893,Jaslovské Bohunice,2354
894,Jasov,3695
895,Jasová,1133
896,Jastrabá,534
897,Jastrabie nad Topľou,489
898,Jastrabie pri Michalovciach,284
899,Jatov,725
900,Jazernica,NaN
901,Jedlinka,84
902,Jedľové Kostoľany,896
903,Jelenec,2116
904,Jelka,3982
905,Jelšava,NaN
906,Jelšovce,994
907,Jelšovec,NaN
908,Jenkovce,436
909,Jesenské,NaN
911,Jestice,150
912,Ješkova Ves,504
913,Jezersko,75
914,Jovice,744
915,Jovsa,827
916,Jur nad Hronom,961
917,Jurkova Voľa,84
918,Jurová,465
919,Jurské,1299
920,Juskova Voľa,296
921,Kačanov,474
922,Kajal,1521
923,Kalameny,452
924,Kalinkovo,1410
925,Kalinov,NaN
926,Kalinovo,2249
927,Kalná nad Hronom,2064
928,Kalná Roztoka,536
929,Kálnica,1060
930,Kalnište,520
931,Kalonda,208
932,Kalša,741
933,Kaloša,830
934,Kaluža,424
935,Kaľamenová,86
936,Kaľava,398
937,Kamanová,609
938,Kamenec pod Vtáčnikom,1778
939,Kamenica,NaN
940,Kamenica nad Cirochou,2316
941,Kamenica nad Hronom,1314
942,Kameničany,551
943,Kameničná,NaN
944,Kamenín,1457
945,Kamenná Poruba,NaN
947,Kamenné Kosihy,329
948,Kamenný Most,NaN
949,Kameňany,874
950,Kamienka,NaN
952,Kanianka,4009
953,Kapince,187
954,Kapišová,447
955,Kaplna,NaN
956,Kapušany,2250
957,Kapušianske Kľačany,964
958,Karlová,107
959,Karná,454
960,Kašov,294
961,Kátlovce,1129
962,Kátov,641
963,Kazimír,NaN
964,Kecerovce,3642
965,Kecerovský Lipovec,124
966,Kečkovce,262
967,Kečovo,344
968,Kechnec,1193
969,Kendice,2025
970,Kesovce,255
971,Keť,584
972,Kežmarok,16346
973,Kiarov,286
974,Kladzany,539
975,Klasov,1383
976,Kláštor pod Znievom,1667
977,Klátova Nová Ves,1669
978,Klčov,633
979,Klenov,235
980,Klenová,NaN
981,Klenovec,3159
982,Kleňany,268
983,Klieština,NaN
984,Klin,NaN
985,Klin nad Bodrogom,199
986,Klížska Nemá,457
987,Klokoč,NaN
988,Klokočov,NaN
990,Klubina,535
991,Kluknava,1555
992,Kľačany,1121
993,Kľače,420
994,Kľačno,1077
995,Kľak,NaN
996,Kľúčovec,366
997,Kľušov,1116
998,Kmeťovo,822
999,Kobeliarovo,500
1000,Kobylnice,NaN
1001,Kobyly,NaN
1002,Koceľovce,241
1003,Kociha,213
1004,Kocurany,523
1005,Kočín-Lančár,519
1006,Kočovce,1625
1007,Kochanovce,NaN
1009,Kojatice,NaN
1010,Kojšov,705
1011,Kokava nad Rimavicou,2825
1012,Kokošovce,907
1013,Kokšov-Bakša,1223
1014,Kolačkov,1366
1015,Kolačno,887
1016,Koláre,245
1017,Kolárovice,1810
1018,Kolárovo,10586
1019,Kolbasov,69
1020,Kolbovce,188
1021,Kolibabovce,188
1022,Kolinovce,579
1023,Kolíňany,1549
1024,Kolonica,556
1025,Kolta,1258
1026,Komárany,502
1027,Komárno,33751
1028,Komárov,NaN
1029,Komárovce,NaN
1030,Komjatice,4292
1031,Komjatná,1552
1032,Komoča,960
1033,Koniarovce,646
1034,Konrádovce,339
1035,Konská,NaN
