"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Gabčíkovo,Iván Fenes,SMK-MKP
Gaboltov,Martin Ceľuch,"KDH, SIEŤ"
Gajary,Peter Tydlitát,"SNS, SMER-SD"
Galanta,Peter Paška,NEKA
Galovany,Miroslav Kubáň,NEKA
Gáň,Denisa Ivančíková,NEKA
Gánovce,Alžbeta Čekovská,"SDKÚ-DS, SaS, KDH, NOVA"
Gbeľany,Jozef Martinček,SMER-SD
Gbelce,František Szőcs,NEKA
Gbely,Jozef Hazlinger,NEKA
Geča,Patrik Rusňák,SIEŤ
Gelnica,Dušan Tomaško,NEKA
Gemer,Zoltán Jankóšik,MOST - HÍD
Gemerček,Zoltán Kisantal,MOST - HÍD
Gemerská Hôrka,Tibor Balázs,MOST - HÍD
Gemerská Panica,Milan Majoroš,MOST - HÍD
Gemerská Poloma,Miroslav Michalka,"SDKÚ-DS, KDH, MOST - HÍD"
Gemerská Ves,Monika Lévaiová,MOST - HÍD
Gemerské Dechtáre,Štefan Zagyi,"SMK-MKP, SMER-SD, SDKÚ-DS"
Gemerské Michalovce,Levente Hubay,SMK-MKP
Gemerské Teplice,Laura Durančíková,SMER-SD
Gemerský Jablonec,Július Agócs,SMK-MKP
Gemerský Sad,Vojtech Pataki,NEKA
Geraltov,Danka Dobranská,SMER-SD
Gerlachov,Ondrej Ševcov,SMER-SD
Gerlachov,Ján Hroboň,NEKA
Giglovce,Zuzana Bochová,SMER-SD
Giraltovce,Ján Rubis,SMER-SD
Glabušovce,Štefan Chudý,NEKA
Gočaltovo,Jarmila Pavlíková,NEKA
Gočovo,Milan Mlynár,SNS
Golianovo,Ľuboš Kolárik,"SMER-SD, KDH"
Gortva,Gejza Balog,NEKA
Gôtovany,Jozef Cút,NEKA
Granč-Petrovce,Peter Pitoňák,"SMER-SD, SDS, SNS"
Gregorova Vieska,Mária Gáfriková,SMER-SD
Gregorovce,Slavomír Verčimák,SIEŤ
Gribov,Štefan Mulik,SNS
Gruzovce,Martin Petík,NEKA
Gyňov,Denisa Vargová,SMER-SD
Habovka,Alojz Lajčin,NEKA
Habura,Michal Prejsa,SIEŤ
Hačava,Peter Gábor,NEKA
Háj,Erika Herčúthová,NEKA
Háj,Július Farkas,MOST - HÍD
Hajná Nová Ves,Ľuboš Koma,SMER-SD
